k,accuracy,fscore,precision,recall
0,0.8504366812227074,0.8007761827844374,0.7752319652343029,0.8504366812227074
1,0.425764192139738,0.28251388107788644,0.21251584641982477,0.425764192139738
2,0.5028506271379704,0.4999249210733473,0.6003581697715151,0.5028506271379704
3,0.7752808988764045,0.7619892389468363,0.7620746870253143,0.7752808988764045
4,0.7,0.6908556597382998,0.7041338171726104,0.7
5,0.7333333333333333,0.7046090534979423,0.7099214039621018,0.7333333333333333
6,0.8095238095238095,0.7886904761904762,0.7889822595704947,0.8095238095238095
7,0.8333333333333334,0.7592592592592592,0.7000000000000001,0.8333333333333334
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,1.0,1.0,1.0,1.0
14,1.0,0.4837398978898835,0.4810167807043203,0.5100402211974843
